0,Cobrabytes
1,TerraNova
2,WINCOIN
3,ANON
4,SIGMAcoin
5,Nerva
6,Jingtum Tech
7,TWIST
8, Golos Gold
9,Elliot Coin
10,EscrowCoin
11,EmberCoin
12,Coin2Play
13,Mooncoin
14,SaveNode
15,Monero Original
16,CARDbuyers
17,Noir
18,ContractNet
19,Fargocoin
20,Traid
21,Pandemia
22,Haracoin
23,PlusOneCoin
24,Concierge Coin
25,Valuto
26,Runners
27,Civitas
28,ACChain
29,Quotient
30,Rubex Money
31,Superior Coin
32,ERA
33,GIGA
34,OmenCoin
35,SONO
36,Bastonet
37,Animecoin
38,HondaisCoin
39,RabbitCoin
40,Arbitracoin
41,Adenz
42,Bubble
43,BlazerCoin
44,CottonCoin
45,First Bitcoin
46,BetaCoin
47,Sakuracoin
48,CoffeeCoin
49,Labh Coin
50,Cropcoin
51,Axiom
52,DynamicCoin
53,Crypto Improv...
54,Tellurion
55,Delizia
56,Aces
57,Bitbase
58,MIRQ
59,PROUD Money
60,Infinipay
61,Mero
62,CommunityGene...
63,AvatarCoin
64,Francs
65,Cubits
66,Pabyosi Coin ...
67,Halloween Coin
68,Birds
69,Wink
70,Magnetcoin
71,Dutch Coin
72,EA Coin
73,EmaratCoin
